                time        tsurfi-60A01        tsurfi-60A02        tsurfi-60A03        tsurfi-60A04        tsurfi-60A05        tsurfi-60A06        tsurfi-60A07        tsurfi-60A08        tsurfi-60A09        tsurfi-60A10        tsurfi-60A11
                 (s)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)
     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------
             98.1913             306.336             306.299             306.270             306.240             306.210             306.180             306.151             306.121             306.091             306.061             305.842
             99.1913             306.405             306.369             306.339             306.310             306.280             306.250             306.221             306.191             306.161             306.131             305.911
             100.191             306.474             306.438             306.408             306.379             306.350             306.320             306.291             306.261             306.232             306.202             305.979
             101.191             306.543             306.507             306.478             306.449             306.419             306.390             306.361             306.332             306.302             306.272             306.048
             102.191             306.612             306.576             306.547             306.518             306.489             306.460             306.431             306.402             306.373             306.343             306.116
             103.191             306.681             306.645             306.617             306.588             306.559             306.530             306.501             306.472             306.443             306.414             306.185
             104.191             306.750             306.714             306.686             306.657             306.629             306.600             306.571             306.543             306.514             306.484             306.253
             105.191             306.819             306.784             306.755             306.727             306.699             306.670             306.642             306.613             306.584             306.555             306.322
             106.191             306.888             306.853             306.825             306.797             306.768             306.740             306.712             306.683             306.655             306.626             306.390
             107.191             306.957             306.922             306.894             306.866             306.838             306.810             306.782             306.754             306.726             306.697             306.459
             108.191             307.026             306.991             306.964             306.936             306.908             306.880             306.852             306.824             306.796             306.768             306.528
             109.191             307.095             307.061             307.033             307.006             306.978             306.950             306.923             306.895             306.867             306.839             306.597
             110.191             307.164             307.130             307.103             307.075             307.048             307.021             306.993             306.965             306.938             306.910             306.665
             111.191             307.233             307.199             307.172             307.145             307.118             307.091             307.063             307.036             307.008             306.981             306.734
             112.191             307.302             307.269             307.242             307.215             307.188             307.161             307.134             307.107             307.079             307.052             306.803
             113.191             307.371             307.338             307.311             307.285             307.258             307.231             307.204             307.177             307.150             307.122             306.872
             114.191             307.440             307.407             307.381             307.354             307.328             307.301             307.275             307.248             307.221             307.194             306.941
             115.191             307.510             307.476             307.450             307.424             307.398             307.371             307.345             307.318             307.292             307.265             307.010
             116.191             307.579             307.546             307.520             307.494             307.468             307.442             307.415             307.389             307.363             307.336             307.079
             117.191             307.648             307.615             307.589             307.564             307.538             307.512             307.486             307.460             307.434             307.407             307.148
             118.191             307.717             307.684             307.659             307.634             307.608             307.582             307.556             307.530             307.504             307.478             307.217
             119.191             307.786             307.754             307.729             307.703             307.678             307.652             307.627             307.601             307.575             307.549             307.286
             120.191             307.855             307.823             307.798             307.773             307.748             307.723             307.697             307.672             307.646             307.620             307.355
             121.191             307.924             307.893             307.868             307.843             307.818             307.793             307.768             307.743             307.717             307.691             307.424
             122.191             307.993             307.962             307.937             307.913             307.888             307.863             307.838             307.813             307.788             307.763             307.493
             123.191             308.062             308.031             308.007             307.983             307.958             307.934             307.909             307.884             307.859             307.834             307.562
             124.191             308.132             308.101             308.077             308.053             308.028             308.004             307.980             307.955             307.930             307.905             307.631
             125.191             308.201             308.170             308.146             308.122             308.098             308.074             308.050             308.026             308.001             307.976             307.701
             126.191             308.270             308.239             308.216             308.192             308.169             308.145             308.121             308.097             308.072             308.047             307.770
             127.191             308.339             308.309             308.286             308.262             308.239             308.215             308.191             308.167             308.143             308.119             307.839
             128.191             308.408             308.378             308.355             308.332             308.309             308.285             308.262             308.238             308.214             308.190             307.908
             129.191             308.477             308.448             308.425             308.402             308.379             308.356             308.332             308.309             308.285             308.261             307.977
             130.191             308.546             308.517             308.494             308.472             308.449             308.426             308.403             308.380             308.357             308.333             308.047
             131.191             308.616             308.586             308.564             308.542             308.519             308.496             308.474             308.451             308.428             308.404             308.116
             132.191             308.685             308.656             308.634             308.612             308.589             308.567             308.544             308.522             308.499             308.475             308.185
             133.191             308.754             308.725             308.703             308.682             308.659             308.637             308.615             308.592             308.570             308.547             308.255
             134.191             308.823             308.795             308.773             308.751             308.730             308.708             308.686             308.663             308.641             308.618             308.324
             135.191             308.892             308.864             308.843             308.821             308.800             308.778             308.756             308.734             308.712             308.689             308.393
             136.191             308.961             308.933             308.912             308.891             308.870             308.849             308.827             308.805             308.783             308.761             308.463
             137.191             309.031             309.003             308.982             308.961             308.940             308.919             308.898             308.876             308.854             308.832             308.532
             138.191             309.100             309.072             309.052             309.031             309.010             308.989             308.968             308.947             308.926             308.904             308.601
             139.191             309.169             309.142             309.121             309.101             309.081             309.060             309.039             309.018             308.997             308.975             308.671
             140.191             309.238             309.211             309.191             309.171             309.151             309.130             309.110             309.089             309.068             309.046             308.740
             141.191             309.307             309.281             309.261             309.241             309.221             309.201             309.180             309.160             309.139             309.118             308.809
             142.191             309.376             309.350             309.331             309.311             309.291             309.271             309.251             309.231             309.210             309.189             308.879
             143.191             309.446             309.419             309.400             309.381             309.361             309.342             309.322             309.302             309.282             309.261             308.948
             144.191             309.515             309.489             309.470             309.451             309.431             309.412             309.392             309.373             309.353             309.332             309.018
             145.191             309.584             309.558             309.540             309.521             309.502             309.482             309.463             309.444             309.424             309.404             309.087
             146.191             309.653             309.628             309.609             309.591             309.572             309.553             309.534             309.515             309.495             309.475             309.157
             147.191             309.722             309.697             309.679             309.661             309.642             309.623             309.605             309.586             309.566             309.546             309.226
             148.191             309.792             309.767             309.749             309.731             309.712             309.694             309.675             309.657             309.638             309.618             309.296
             149.191             309.861             309.836             309.818             309.801             309.783             309.764             309.746             309.728             309.709             309.689             309.365
             150.191             309.930             309.905             309.888             309.870             309.853             309.835             309.817             309.799             309.780             309.761             309.435
             151.191             309.999             309.975             309.958             309.940             309.923             309.905             309.887             309.870             309.851             309.832             309.504
             152.191             310.068             310.044             310.027             310.010             309.993             309.976             309.958             309.940             309.923             309.904             309.574
             153.191             310.137             310.114             310.097             310.080             310.063             310.046             310.029             310.012             309.994             309.975             309.643
             154.191             310.207             310.183             310.167             310.150             310.134             310.117             310.100             310.082             310.065             310.047             309.713
             155.191             310.276             310.253             310.237             310.220             310.204             310.187             310.170             310.154             310.136             310.118             309.782
             156.191             310.345             310.322             310.306             310.290             310.274             310.258             310.241             310.224             310.208             310.190             309.852
             157.191             310.414             310.392             310.376             310.360             310.344             310.328             310.312             310.296             310.279             310.261             309.921
             158.191             310.483             310.461             310.446             310.430             310.415             310.399             310.383             310.367             310.350             310.333             309.991
             159.191             310.552             310.530             310.515             310.500             310.485             310.469             310.453             310.438             310.421             310.404             310.060
             160.191             310.622             310.600             310.585             310.570             310.555             310.540             310.524             310.509             310.493             310.476             310.130
             161.191             310.691             310.669             310.655             310.640             310.625             310.610             310.595             310.580             310.564             310.548             310.200
             162.191             310.760             310.739             310.724             310.710             310.695             310.681             310.666             310.651             310.635             310.619             310.269
             163.191             310.829             310.808             310.794             310.780             310.766             310.751             310.736             310.722             310.707             310.691             310.339
             164.191             310.898             310.878             310.864             310.850             310.836             310.822             310.807             310.793             310.778             310.762             310.408
             165.191             310.967             310.947             310.934             310.920             310.906             310.892             310.878             310.864             310.849             310.834             310.478
             166.191             311.036             311.016             311.003             310.990             310.976             310.963             310.949             310.935             310.920             310.905             310.547
             167.191             311.106             311.086             311.073             311.060             311.047             311.033             311.019             311.006             310.992             310.977             310.617
             168.191             311.175             311.155             311.143             311.130             311.117             311.104             311.090             311.077             311.063             311.048             310.687
             169.191             311.244             311.225             311.212             311.200             311.187             311.174             311.161             311.148             311.134             311.120             310.756
             170.191             311.313             311.294             311.282             311.270             311.257             311.245             311.232             311.219             311.206             311.191             310.826
             171.191             311.382             311.363             311.352             311.340             311.327             311.315             311.302             311.290             311.277             311.263             310.896
             172.191             311.451             311.433             311.421             311.410             311.398             311.386             311.373             311.361             311.348             311.334             310.965
             173.191             311.521             311.502             311.491             311.480             311.468             311.456             311.444             311.432             311.419             311.406             311.035
             174.191             311.590             311.572             311.561             311.549             311.538             311.527             311.515             311.503             311.491             311.478             311.104
             175.191             311.659             311.641             311.630             311.619             311.608             311.597             311.586             311.574             311.562             311.549             311.174
             176.191             311.728             311.711             311.700             311.689             311.679             311.668             311.656             311.645             311.633             311.621             311.244
             177.191             311.797             311.780             311.770             311.759             311.749             311.738             311.727             311.716             311.705             311.692             311.313
             178.191             311.866             311.849             311.839             311.829             311.819             311.808             311.798             311.787             311.776             311.764             311.383
             179.191             311.935             311.919             311.909             311.899             311.889             311.879             311.869             311.858             311.847             311.835             311.453
             180.191             312.004             311.988             311.979             311.969             311.959             311.949             311.939             311.929             311.918             311.907             311.522
             181.191             312.074             312.058             312.048             312.039             312.030             312.020             312.010             312.000             311.990             311.978             311.592
             182.191             312.143             312.127             312.118             312.109             312.100             312.090             312.081             312.071             312.061             312.050             311.662
