time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;
15.71428571;1;0;0;0;0;0;0;0;0;
15.72727273;1;0;0;0;0;0;0;0;0;
15.74025974;1;0;0;0;0;0;0;0;0;
15.75324675;1;0;0;0;0;0;0;0;0;
15.76623377;1;0;0;0;0;0;0;0;0;
15.77922078;1;0;0;0;0;0;0;0;0;
15.79220779;1;0;0;0;0;0;0;0;0;
15.80519481;1;0;0;0;0;0;0;0;0;
15.81818182;1;0;0;0;0;0;0;0;0;
15.83116883;1;0;0;0;0;0;0;0;0;
15.84415584;1;0;0;0;0;0;0;0;0;
15.85714286;1;0;0;0;0;0;0;0;0;
15.87012987;1;0;0;0;0;0;0;0;0;
15.88311688;1;0;0;0;0;0;0;0;0;
15.8961039;1;0;0;0;0;0;0;0;0;
15.90909091;1;0;0;0;0;0;0;0;0;
15.92207792;1;0;0;0;0;0;0;0;0;
15.93506494;1;0;0;0;0;0;0;0;0;
15.94805195;1;0;0;0;0;0;0;0;0;
15.96103896;1;0;0;0;0;0;0;0;0;
15.97402597;1;0;0;0;0;0;0;0;0;
15.98701299;1;0;0;0;0;0;0;0;0;
16;1;0;0;0;0;0;0;0;0;
16.01298701;1;0;0;0;0;0;0;0;0;
16.02597403;1;0;0;0;0;0;0;0;0;
16.03896104;1;0;0;0;0;0;0;0;0;
16.05194805;1;0;0;0;0;0;0;0;0;
16.06493506;1;0;0;0;0;0;0;0;0;
16.07792208;1;0;0;0;0;0;0;0;0;
16.09090909;1;0;0;0;0;0;0;0;0;
16.1038961;1;0;0;0;0;0;0;0;0;
16.11688312;1;0;0;0;0;0;0;0;0;
16.12987013;1;0;0;0;0;0;0;0;0;
16.14285714;1;0;0;0;0;0;0;0;0;
16.15584416;1;0;0;0;0;0;0;0;0;
16.16883117;1;0;0;0;0;0;0;0;0;
16.18181818;1;0;0;0;0;0;0;0;0;
16.19480519;1;0;0;0;0;0;0;0;0;
16.20779221;1;0;0;0;0;0;0;0;0;
16.22077922;1;0;0;0;0;0;0;0;0;
16.23376623;1;0;0;0;0;0;0;0;0;
16.24675325;1;0;0;0;0;0;0;0;0;
16.25974026;1;0;0;0;0;0;0;0;0;
16.27272727;1;0;0;0;0;0;0;0;0;
16.28571429;1;0;0;0;0;0;0;0;0;
16.2987013;1;0;0;0;0;0;0;0;0;
16.31168831;1;0;0;0;0;0;0;0;0;
16.32467532;1;0;0;0;0;0;0;0;0;
16.33766234;1;0;0;0;0;0;0;0;0;
16.35064935;1;0;0;0;0;0;0;0;0;
16.36363636;1;0;0;0;0;0;0;0;0;
16.37662338;1;0;0;0;0;0;0;0;0;
16.38961039;1;0;0;0;0;0;0;0;0;
16.4025974;1;0;0;0;0;0;0;0;0;
16.41558442;1;0;0;0;0;0;0;0;0;
16.42857143;1;0;0;0;0;0;0;0;0;
16.44155844;1;0;0;0;0;0;0;0;0;
16.45454545;1;0;0;0;0;0;0;0;0;
16.46753247;1;0;0;0;0;0;0;0;0;
16.48051948;1;0;0;0;0;0;0;0;0;
16.49350649;1;0;0;0;0;0;0;0;0;
16.50649351;1;0;0;0;0;0;0;0;0;
16.51948052;1;0;0;0;0;0;0;0;0;
16.53246753;1;0;0;0;0;0;0;0;0;
16.54545455;1;0;0;0;0;0;0;0;0;
