                time        tsurfi-60A01        tsurfi-60A02        tsurfi-60A03        tsurfi-60A04        tsurfi-60A05        tsurfi-60A06        tsurfi-60A07        tsurfi-60A08        tsurfi-60A09        tsurfi-60A10        tsurfi-60A11
                 (s)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)
     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------
             82.1767             305.465             305.414             305.368             305.321             305.275             305.228             305.182             305.136             305.089             305.043             304.816
             83.1767             305.537             305.487             305.441             305.394             305.348             305.302             305.256             305.210             305.163             305.117             304.887
             84.1767             305.610             305.560             305.514             305.468             305.422             305.376             305.330             305.284             305.238             305.192             304.959
             85.1767             305.683             305.633             305.587             305.541             305.495             305.449             305.404             305.358             305.312             305.266             305.030
             86.1767             305.755             305.706             305.660             305.614             305.569             305.523             305.478             305.432             305.387             305.341             305.102
             87.1767             305.828             305.779             305.733             305.688             305.643             305.597             305.552             305.506             305.461             305.416             305.174
             88.1767             305.900             305.851             305.806             305.761             305.716             305.671             305.626             305.581             305.536             305.490             305.245
             89.1767             305.973             305.924             305.880             305.835             305.790             305.745             305.700             305.655             305.610             305.565             305.317
             90.1767             306.046             305.997             305.953             305.908             305.864             305.819             305.775             305.730             305.685             305.640             305.389
             91.1767             306.119             306.070             306.026             305.982             305.938             305.893             305.849             305.805             305.760             305.715             305.462
             92.1767             306.191             306.143             306.100             306.056             306.012             305.967             305.923             305.879             305.835             305.790             305.534
             93.1767             306.264             306.217             306.173             306.129             306.086             306.042             305.998             305.954             305.910             305.866             305.606
             94.1767             306.337             306.290             306.246             306.203             306.160             306.116             306.072             306.029             305.985             305.941             305.678
             95.1767             306.410             306.363             306.320             306.277             306.234             306.190             306.147             306.104             306.060             306.016             305.751
             96.1767             306.483             306.436             306.393             306.351             306.308             306.265             306.222             306.178             306.135             306.092             305.823
             97.1767             306.555             306.509             306.467             306.424             306.382             306.339             306.296             306.253             306.210             306.167             305.896
             98.1767             306.628             306.582             306.540             306.498             306.456             306.413             306.371             306.328             306.286             306.243             305.968
             99.1767             306.701             306.656             306.614             306.572             306.530             306.488             306.446             306.403             306.361             306.318             306.041
             100.177             306.774             306.729             306.687             306.646             306.604             306.562             306.521             306.478             306.436             306.394             306.114
             101.177             306.847             306.802             306.761             306.720             306.678             306.637             306.595             306.554             306.512             306.470             306.187
             102.177             306.920             306.875             306.835             306.794             306.753             306.712             306.670             306.629             306.587             306.545             306.259
             103.177             306.993             306.949             306.908             306.868             306.827             306.786             306.745             306.704             306.663             306.621             306.332
             104.177             307.066             307.022             306.982             306.942             306.901             306.861             306.820             306.779             306.738             306.697             306.405
             105.177             307.139             307.095             307.056             307.016             306.976             306.935             306.895             306.855             306.814             306.773             306.478
             106.177             307.212             307.169             307.129             307.090             307.050             307.010             306.970             306.930             306.890             306.849             306.551
             107.177             307.285             307.242             307.203             307.164             307.124             307.085             307.045             307.005             306.965             306.925             306.625
             108.177             307.358             307.315             307.277             307.238             307.199             307.160             307.120             307.081             307.041             307.001             306.698
             109.177             307.431             307.389             307.350             307.312             307.273             307.234             307.195             307.156             307.117             307.077             306.771
             110.177             307.504             307.462             307.424             307.386             307.348             307.309             307.271             307.232             307.193             307.153             306.844
             111.177             307.577             307.536             307.498             307.460             307.422             307.384             307.346             307.307             307.268             307.229             306.917
             112.177             307.650             307.609             307.572             307.534             307.497             307.459             307.421             307.383             307.344             307.305             306.991
             113.177             307.723             307.682             307.646             307.609             307.571             307.534             307.496             307.458             307.420             307.381             307.064
             114.177             307.796             307.756             307.719             307.683             307.646             307.609             307.571             307.534             307.496             307.458             307.138
             115.177             307.869             307.829             307.793             307.757             307.720             307.684             307.647             307.609             307.572             307.534             307.211
             116.177             307.942             307.903             307.867             307.831             307.795             307.759             307.722             307.685             307.648             307.610             307.285
             117.177             308.015             307.976             307.941             307.905             307.870             307.834             307.797             307.761             307.724             307.687             307.358
             118.177             308.088             308.050             308.015             307.980             307.944             307.909             307.873             307.836             307.800             307.763             307.432
             119.177             308.161             308.123             308.089             308.054             308.019             307.984             307.948             307.912             307.876             307.840             307.505
             120.177             308.235             308.197             308.163             308.128             308.094             308.059             308.023             307.988             307.952             307.916             307.579
             121.177             308.308             308.270             308.236             308.202             308.168             308.134             308.099             308.064             308.028             307.992             307.653
             122.177             308.381             308.344             308.310             308.277             308.243             308.209             308.174             308.139             308.105             308.069             307.726
             123.177             308.454             308.417             308.384             308.351             308.318             308.284             308.250             308.215             308.181             308.145             307.800
             124.177             308.527             308.491             308.458             308.425             308.392             308.359             308.325             308.291             308.257             308.222             307.874
             125.177             308.600             308.564             308.532             308.500             308.467             308.434             308.401             308.367             308.333             308.299             307.948
             126.177             308.673             308.638             308.606             308.574             308.542             308.509             308.476             308.443             308.409             308.375             308.022
             127.177             308.746             308.711             308.680             308.648             308.616             308.584             308.552             308.519             308.486             308.452             308.095
             128.177             308.819             308.785             308.754             308.723             308.691             308.659             308.627             308.595             308.562             308.528             308.169
             129.177             308.893             308.858             308.828             308.797             308.766             308.734             308.703             308.671             308.638             308.605             308.243
             130.177             308.966             308.932             308.902             308.871             308.841             308.810             308.778             308.746             308.714             308.682             308.317
             131.177             309.039             309.005             308.976             308.946             308.915             308.885             308.854             308.822             308.791             308.758             308.391
             132.177             309.112             309.079             309.050             309.020             308.990             308.960             308.929             308.898             308.867             308.835             308.465
             133.177             309.185             309.153             309.124             309.095             309.065             309.035             309.005             308.974             308.944             308.912             308.539
             134.177             309.258             309.226             309.198             309.169             309.140             309.110             309.080             309.050             309.020             308.989             308.613
             135.177             309.331             309.300             309.272             309.243             309.215             309.185             309.156             309.126             309.096             309.065             308.687
             136.177             309.405             309.373             309.346             309.318             309.289             309.261             309.232             309.202             309.173             309.142             308.761
             137.177             309.478             309.447             309.420             309.392             309.364             309.336             309.307             309.278             309.249             309.219             308.835
             138.177             309.551             309.520             309.494             309.466             309.439             309.411             309.383             309.354             309.326             309.296             308.909
             139.177             309.624             309.594             309.568             309.541             309.514             309.486             309.459             309.430             309.402             309.373             308.984
             140.177             309.697             309.668             309.642             309.615             309.589             309.562             309.534             309.506             309.478             309.450             309.058
             141.177             309.770             309.741             309.716             309.690             309.663             309.637             309.610             309.583             309.555             309.526             309.132
             142.177             309.843             309.815             309.790             309.764             309.738             309.712             309.686             309.659             309.631             309.603             309.206
             143.177             309.917             309.888             309.864             309.839             309.813             309.787             309.761             309.735             309.708             309.680             309.280
             144.177             309.990             309.962             309.938             309.913             309.888             309.863             309.837             309.811             309.784             309.757             309.354
             145.177             310.063             310.035             310.012             309.987             309.963             309.938             309.913             309.887             309.861             309.834             309.429
             146.177             310.136             310.109             310.086             310.062             310.038             310.013             309.988             309.963             309.937             309.911             309.503
             147.177             310.209             310.183             310.160             310.136             310.113             310.088             310.064             310.039             310.014             309.988             309.577
             148.177             310.282             310.256             310.234             310.211             310.187             310.164             310.140             310.115             310.090             310.065             309.651
             149.177             310.355             310.330             310.308             310.285             310.262             310.239             310.215             310.191             310.167             310.142             309.726
             150.177             310.429             310.403             310.382             310.360             310.337             310.314             310.291             310.267             310.243             310.219             309.800
             151.177             310.502             310.477             310.456             310.434             310.412             310.390             310.367             310.344             310.320             310.296             309.874
             152.177             310.575             310.550             310.530             310.508             310.487             310.465             310.442             310.420             310.396             310.372             309.949
             153.177             310.648             310.624             310.604             310.583             310.562             310.540             310.518             310.496             310.473             310.449             310.023
             154.177             310.721             310.698             310.678             310.657             310.637             310.615             310.594             310.572             310.550             310.526             310.097
             155.177             310.794             310.771             310.752             310.732             310.711             310.691             310.670             310.648             310.626             310.603             310.172
             156.177             310.867             310.845             310.826             310.806             310.786             310.766             310.745             310.724             310.703             310.680             310.246
             157.177             310.941             310.918             310.900             310.881             310.861             310.841             310.821             310.800             310.779             310.757             310.320
             158.177             311.014             310.992             310.974             310.955             310.936             310.917             310.897             310.877             310.856             310.834             310.395
             159.177             311.087             311.065             311.048             311.030             311.011             310.992             310.973             310.953             310.932             310.911             310.469
             160.177             311.160             311.139             311.122             311.104             311.086             311.067             311.048             311.029             311.009             310.988             310.543
             161.177             311.233             311.213             311.196             311.178             311.161             311.143             311.124             311.105             311.086             311.065             310.618
             162.177             311.306             311.286             311.270             311.253             311.236             311.218             311.200             311.181             311.162             311.142             310.692
             163.177             311.379             311.360             311.344             311.327             311.310             311.293             311.275             311.257             311.239             311.219             310.767
             164.177             311.453             311.433             311.418             311.402             311.385             311.368             311.351             311.334             311.315             311.296             310.841
             165.177             311.526             311.507             311.492             311.476             311.460             311.444             311.427             311.410             311.392             311.373             310.916
