time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
940;323179.1;1296509;347203.8;263798.6;256063.7;50056.7;17193.19;3840.59
945;323179.1;1296509;347203.8;263798.6;256063.7;50056.7;17193.19;3840.59
950;323179.1;1296509;347203.8;263798.6;256063.7;50056.7;17193.19;3840.59
955;323179;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.588
960;323179;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.588
965;323179;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.588
970;323179;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.588
975;323179;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.588
980;323179;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
985;323179;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
990;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
995;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
1000;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
