time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;
1.9;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.91;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.92;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.93;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.94;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.95;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.96;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.97;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.98;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.99;1;3.6e+09;1e-18;0;0;0;0;0;0;
2;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.01;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.02;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.03;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.04;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.05;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.06;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.07;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.08;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.09;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.1;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.11;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.12;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.13;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.14;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.15;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.16;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.17;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.18;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.19;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.2;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.21;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.22;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.23;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.24;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.25;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.26;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.27;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.28;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.29;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.3;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.31;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.32;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.33;1;3.6e+09;1e-18;0;0;0;0;0;0;
